title,type,Episodes,Status,Aired,Premiered,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Score,Rank,Popularity,Members
One Piece,TV,Unknown,Currently Airing,"Oct 20, 1999 to ?",Fall 1999,"Fuji TV,TAP,Shueisha","Funimation,4Kids Entertainment",Toei Animation,Manga,"Action,Adventure,Comedy,Super Power,Drama,Fantasy,Shounen",24 min.,PG-13 - Teens 13 or older,8.49,99,30,"1,176,499"
Kingdom 3rd Season,TV,Unknown,Currently Airing,"Apr 6, 2020 to ?",Spring 2020,"NHK,Shueisha",Funimation,Studio Signpost,Manga,"Action,Historical,Military,Seinen",24 min.,R - 17+ (violence & profanity),8.42,135,2786,"31,438"
Detective Conan,TV,Unknown,Currently Airing,"Jan 8, 1996 to ?",Winter 1996,"Yomiuri Telecasting,Animax,YTV,TMS-Kyokuchi,Shogakukan","Funimation,Crunchyroll",TMS Entertainment,Manga,"Adventure,Mystery,Comedy,Police,Shounen",25 min.,PG-13 - Teens 13 or older,8.17,333,565,"231,221"
Douluo Dalu: Xiaowu Juebie,ONA,Unknown,Currently Airing,"May 23, 2020 to ?",,-,-,Sparkly Key Animation Studio,Novel,"Action,Adventure,Historical,Romance,Martial Arts,Fantasy",20 min.,PG-13 - Teens 13 or older,8.08,432,8619,"1,940"
Tonikaku Kawaii,TV,Unknown,Currently Airing,"Oct 3, 2020 to ?",Fall 2020,"Shogakukan-Shueisha Productions,Warner Bros. Japan,KlockWorx,Shogakukan,Crunchyroll SC Anime Fund",-,Seven Arcs,Manga,"Comedy,Romance,Shounen",23 min.,None,7.78,876,1164,"115,748"
BanG Dream! Garupa☆Pico: Oomori,TV,Unknown,Currently Airing,"May 7, 2020 to ?",Spring 2020,Cloud22,-,SANZIGEN,Manga,"Music,Comedy",3 min.,PG-13 - Teens 13 or older,7.71,1009,6683,"4,238"
Crayon Shin-chan,TV,Unknown,Currently Airing,"Apr 13, 1992 to ?",Spring 1992,TV Asahi,Funimation,Shin-Ei Animation,Manga,"Slice of Life,Comedy,Ecchi,School,Seinen",21 min.,PG - Children,7.69,1059,2066,"52,794"
Major 2nd (TV) 2nd Season,TV,Unknown,Currently Airing,"Apr 4, 2020 to ?",Spring 2020,-,-,OLM,Manga,"Comedy,Sports,Drama,Shounen",24 min.,PG-13 - Teens 13 or older,7.68,1081,4622,"10,574"
Osomatsu-san 3rd Season,TV,Unknown,Currently Airing,"Oct 13, 2020 to ?",Fall 2020,"Rakuonsha,Avex Pictures",-,Studio Pierrot,Manga,"Comedy,Parody",23 min.,R - 17+ (violence & profanity),7.65,1142,5237,"7,734"
Luo Xiao Hei Zhan Ji,ONA,Unknown,Currently Airing,"Mar 17, 2011 to ?",,-,-,-,Original,"Comedy,Supernatural",7 min.,PG - Children,7.61,1268,8500,"2,046"
Hanyou no Yashahime: Sengoku Otogizoushi,TV,Unknown,Currently Airing,"Oct 3, 2020 to ?",Fall 2020,"Shogakukan,Yomiuri TV Enterprise",Viz Media,Sunrise,Original,"Action,Adventure,Comedy,Historical,Demons,Supernatural,Magic,Fantasy",24 min.,PG-13 - Teens 13 or older,7.52,1520,2159,"49,767"
Doraemon (2005),TV,Unknown,Currently Airing,"Apr 22, 2005 to ?",Spring 2005,TV Asahi,-,Shin-Ei Animation,Manga,"Sci-Fi,Comedy,Kids,Shounen",25 min.,PG - Children,7.5,1576,4695,"10,178"
Pokemon (2019),TV,Unknown,Currently Airing,"Nov 17, 2019 to ?",Fall 2019,"TV Tokyo,Shogakukan-Shueisha Productions,MediaNet",-,OLM,Game,"Action,Adventure,Comedy,Kids,Fantasy",23 min.,PG - Children,7.34,2172,2660,"34,024"
Hifuu Katsudou Kiroku: The Sealed Esoteric History,OVA,Unknown,Currently Airing,"Dec 29, 2015 to ?",,-,-,-,Game,"Magic,Fantasy",30 min.,PG-13 - Teens 13 or older,7.3,2329,6383,"4,732"
Black Clover,TV,Unknown,Currently Airing,"Oct 3, 2017 to ?",Fall 2017,"TV Tokyo,Avex Pictures,Shueisha","Funimation,Crunchyroll",Studio Pierrot,Manga,"Action,Comedy,Magic,Fantasy,Shounen",23 min.,PG-13 - Teens 13 or older,7.29,2389,113,"686,615"
Fate/Grand Order,Special,Unknown,Currently Airing,"Dec 27, 2014 to ?",,-,-,-,Game,"Action,Fantasy",15 sec.,PG - Children,7.24,2584,4172,"13,434"
Dragon Quest: Dai no Daibouken (2020),TV,Unknown,Currently Airing,"Oct 3, 2020 to ?",Fall 2020,"TV Tokyo,Square Enix,Shueisha",-,Toei Animation,Manga,"Action,Adventure,Fantasy,Shounen",24 min.,PG-13 - Teens 13 or older,7.21,2719,3241,"23,671"
Chibi Maruko-chan (1995),TV,Unknown,Currently Airing,"Jan 8, 1995 to ?",Winter 1995,Sakura Production,-,Nippon Animation,Manga,"Slice of Life,Comedy,Kids,School",23 min.,G - All Ages,7.19,2797,7744,"2,791"
Touhou Niji Sousaku Doujin Anime: Musou Kakyou,OVA,Unknown,Currently Airing,"Dec 29, 2008 to ?",,Maikaze,-,-,Game,"Magic,Vampire,Fantasy",22 min.,PG-13 - Teens 13 or older,7.15,2954,2859,"29,802"
Nintama Rantarou,TV,Unknown,Currently Airing,"Apr 10, 1993 to ?",Spring 1993,NHK,-,Ajia-Do,Manga,"Comedy,Kids",10 min.,G - All Ages,7.07,3310,6310,"4,859"
Gudetama,TV,Unknown,Currently Airing,"Mar 31, 2014 to ?",Spring 2014,Sanrio,-,Gathering,Original,"Comedy,Kids",1 min.,G - All Ages,7.07,3355,5054,"8,452"
Healin' Good♡Precure,TV,Unknown,Currently Airing,"Feb 2, 2020 to ?",Winter 2020,"Asatsu DK,Asahi Broadcasting,ABC Animation",-,Toei Animation,Original,"Action,Magic,Fantasy,Shoujo",24 min.,G - All Ages,6.96,3742,6232,"5,017"
A3! Season Autumn & Winter,TV,Unknown,Currently Airing,"Oct 13, 2020 to ?",Fall 2020,"Pony Canyon,Infinite",Funimation,"P.A. Works,Studio 3Hz",Game,"Slice of Life,Drama",23 min.,PG-13 - Teens 13 or older,6.91,3952,5454,"7,049"
Koisuru Shirokuma,Movie,Unknown,Currently Airing,"Mar 4, 2017 to ?",,-,-,Gathering,Manga,"Comedy,Josei,Shounen Ai",39 sec.,G - All Ages,6.85,4210,6362,"4,763"
Taisou Zamurai,TV,Unknown,Currently Airing,"Oct 11, 2020 to ?",Fall 2020,-,Funimation,MAPPA,Original,Sports,23 min.,None,6.73,4683,3541,"19,762"
Noblesse,TV,Unknown,Currently Airing,"Oct 8, 2020 to ?",Fall 2020,"Glovision,Crunchyroll SC Anime Fund",-,Production I.G,Web manga,"Action,Supernatural,Vampire,School",23 min.,None,6.71,4773,1465,"86,902"
Ryoutei no Aji,Special,Unknown,Currently Airing,"Mar 28, 2014 to ?",,Robot Communications,-,Studio Colorido,Original,Slice of Life,1 min.,G - All Ages,6.7,4852,9146,"1,585"
D4DJ: First Mix,TV,Unknown,Currently Airing,"Oct 23, 2020 to ?",Fall 2020,Bushiroad,Sentai Filmworks,SANZIGEN,Original,Music,Unknown,None,6.6,5312,7684,"2,864"
Tenki no Ko CMs,Special,Unknown,Currently Airing,"Jun 30, 2019 to ?",,-,-,"Enishiya,FILMONY",Original,"Music,Slice of Life",20 sec.,G - All Ages,6.59,5361,8139,"2,381"
Akuma no Kimuraa-hen,Special,Unknown,Currently Airing,"Apr 6, 2018 to ?",,-,-,HOTZIPANG,Original,"Parody,Demons",30 sec.,G - All Ages,6.59,5369,9420,"1,416"
Petit Clover Advance,Special,Unknown,Currently Airing,"Feb 23, 2018 to ?",,-,-,-,Original,Comedy,6 min.,PG-13 - Teens 13 or older,6.56,5509,8941,"1,716"
Granblue Fantasy,ONA,Unknown,Currently Airing,"Nov 8, 2013 to ?",,-,-,-,Game,Fantasy,28 sec.,G - All Ages,6.54,5602,5797,"6,044"
Inu to Neko Docchi mo Katteru to Mainichi Tanoshii,TV,Unknown,Currently Airing,"Oct 3, 2020 to ?",Fall 2020,"Half H.P Studio,studioGONG",-,Team TillDawn,Manga,"Slice of Life,Comedy",1 min.,None,6.5,5779,6392,"4,704"
Fastening Days,ONA,Unknown,Currently Airing,"Oct 30, 2014 to ?",,-,-,Studio Colorido,Original,"Kids,Magic",6 min.,G - All Ages,6.46,5989,6162,"5,163"
Sore Ike! Anpanman,TV,Unknown,Currently Airing,"Oct 3, 1988 to ?",Fall 1988,Sotsu,-,TMS Entertainment,Picture book,"Comedy,Kids,Fantasy",24 min.,PG - Children,6.44,6114,8576,"1,982"
One Room Third Season,TV,Unknown,Currently Airing,"Oct 6, 2020 to ?",Fall 2020,-,-,Zero-G,Original,Slice of Life,4 min.,PG-13 - Teens 13 or older,6.43,6126,4583,"10,796"
Queen's Blade: Unlimited,OVA,Unknown,Currently Airing,"Jul 13, 2018 to ?",,-,-,-,Other,"Action,Adventure,Ecchi,Fantasy",Unknown,R+ - Mild Nudity,6.37,6417,5180,"7,984"
Mewkledreamy,TV,Unknown,Currently Airing,"Apr 5, 2020 to ?",Spring 2020,Sanrio,-,J.C.Staff,Other,"Adventure,Kids,Fantasy",24 min.,G - All Ages,6.37,6448,7283,"3,379"
Bonobono (TV 2016),TV,Unknown,Currently Airing,"Apr 2, 2016 to ?",Spring 2016,"Fuji TV,Glovision",-,Eiken,4-koma manga,"Slice of Life,Comedy",5 min.,G - All Ages,6.35,6519,8308,"2,233"
Ojarumaru,TV,Unknown,Currently Airing,"Oct 5, 1998 to ?",Fall 1998,NHK,Enoki Films,Gallop,Original,"Adventure,Comedy,Kids,Fantasy",10 min.,G - All Ages,6.34,6566,9880,"1,141"
Assault Lily: Bouquet,TV,Unknown,Currently Airing,"Oct 2, 2020 to ?",Fall 2020,-,Funimation,Shaft,Other,"Action,Magic,Fantasy",24 min.,None,6.33,6602,2623,"34,919"
Magatsu Wahrheit: Zuerst,TV,Unknown,Currently Airing,"Oct 13, 2020 to ?",Fall 2020,"WOWOW,NBCUniversal Entertainment Japan,Tokyo MX,Q-Tec,Chugai Mining,BS11,KLab,Marui Group,Bit grooove promotion",Funimation,Yokohama Animation Lab,Game,"Action,Magic,Fantasy",24 min.,None,6.33,6625,4110,"13,883"
Doraemon (2005) Specials,Special,Unknown,Currently Airing,"Apr 15, 2005 to ?",,-,-,-,Unknown,"Comedy,Seinen",Unknown,PG - Children,6.3,6740,11523,561
Golden Douga Gekijou,ONA,Unknown,Currently Airing,"Apr 16, 2018 to ?",,NBCUniversal Entertainment Japan,-,"W-Toon Studio,DMM.futureworks",Manga,Comedy,26 sec.,R - 17+ (violence & profanity),6.3,6748,7044,"3,706"
Beyblade Burst Sparking,ONA,Unknown,Currently Airing,"Apr 3, 2020 to ?",,-,-,-,Original,"Action,Sci-Fi,Adventure,Sports,Shounen",12 min.,PG - Children,6.29,6817,9549,"1,340"
Zenonzard The Animation,ONA,Unknown,Currently Airing,"Jan 31, 2020 to ?",,Magic Capsule,-,8bit,Game,"Action,Game,Fantasy",14 min.,PG-13 - Teens 13 or older,6.24,7050,6297,"4,886"
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden,Special,Unknown,Currently Airing,"Sep 30, 2016 to ?",,-,-,-,Game,"Drama,Magic",41 sec.,PG - Children,6.23,7091,4890,"9,212"
Knyacki!,TV,Unknown,Currently Airing,"Apr 7, 1995 to ?",Spring 1995,NHK,-,-,Unknown,"Comedy,Kids,Drama,Fantasy",5 min.,PG - Children,6.17,7344,11388,590
Sazae-san,TV,Unknown,Currently Airing,"Oct 5, 1969 to ?",Fall 1969,Fuji TV,-,Eiken,4-koma manga,"Slice of Life,Comedy",24 min.,G - All Ages,6.15,7411,6296,"4,888"
Xi Yang Yang Yu Hui Tai Lang,TV,Unknown,Currently Airing,2005 to ?,,Creative Power Entertaining,-,-,Unknown,"Adventure,Comedy,Kids",15 min.,None,6.09,7695,12379,395
Cardfight!! Vanguard Gaiden: If,TV,Unknown,Currently Airing,"May 30, 2020 to ?",Spring 2020,-,-,OLM,Original,"Action,Game,Adventure,Comedy,Parody,Demons",24 min.,PG-13 - Teens 13 or older,5.98,8105,9150,"1,582"
Hungry Days: Aoharu ka yo.,Special,Unknown,Currently Airing,"Jun 7, 2017 to ?",,-,-,"Shaft,Tatsunoko Production",Other,"Slice of Life,Magic,Romance",30 sec.,G - All Ages,5.97,8155,6043,"5,415"
